origine,destination,couleur
Halkalı Pendik,Manisa,violet
Halkalı Pendik,Mytilene,rouge
Halkalı Pendik,Uzunköprü,rouge
Hallsberg,Katrineholm,rouge
Hallstatt,Bischofs- hofen Selzthal,rouge
Hallstatt,ichae,rouge
Halmeu,Valea,vert
Halmeu,Valea,violet
Harder Kulm,Wilderswil,rouge
Haydarpaşa,Halkalı Pendik,rouge
Haydarpaşa,Istanbul,rouge
Haydarpaşa,Izmit,rouge
Hel,Elbląg,vert
Hel,Gdansk ´,rouge
Hel,Gdansk ´,vert
Hel,Gdynia,rouge
Heraklion,Cyprus,rouge
Heraklion,Cyprus,vert
Heraklion,Cyprus,violet
Hirtshals Hjørring,Denmark,violet
Hirtshals Hjørring,Thisted,rouge
Hoting,Östersund,vert
Hultsfre Eksjö d,Karlshamn,violet
Hultsfre Eksjö d,Nässjö,rouge
Hultsfred,Berga,vert
Iași,Roman,rouge
Iași,Roman,violet
Idomeni,Thessaloniki Edessa,rouge
Idomeni,Véria,rouge
Idomeni,Véria,vert
Igoumenitsa,6h30min,rouge
Ikaria,Mykonos Mykonos,rouge
Ilawa,Bydgoszcz Torun,rouge
Ilawa,Bydgoszcz Torun,vert
Ilawa,Dzialdowo,rouge
Inowroclaw,Konin,rouge
Inowroclaw,Konin,vert
Inowroclaw,Konin,violet
Inowroclaw,Poland,rouge
Ionian Sea,Reggio Calabria,rouge
Ionian Sea,Siracusa,rouge
Ios,Crete,vert
Iskenderun,Cyprus,rouge
Isparta Burdur Denizli,Civril,rouge
Isparta Burdur Denizli,Kalymnos Kalymnos,rouge
Isparta Burdur Denizli,Tire,rouge
Istanbul,Halkalı Pendik,rouge
Istanbul,Haydarpaşa,rouge
Italy,Formia Benevento Caserta,rouge
Izmir,Patmos Patmos Ikaria,rouge
Izmir,Samos,rouge
Izmit,Kütahaya,rouge
Jibou,Zalău Nord,violet
Jönköping,Borås,rouge
Jönköping Nässjö,Berga,vert
Jönköping Nässjö,Sweden,vert
Kalambáka,Igoumenitsa,vert
Kalambáka,Trikala,vert
Kalavrita,Alﬁos Olympia,rouge
Kalavrita,Patras Athinai,rouge
Kalmar,Öland,vert
Kalymnos Kalymnos,11h50min,rouge
Kalymnos Kalymnos,Isparta Burdur Denizli,rouge
Kalymnos Kalymnos,Kos,rouge
Kapellskär,Nynäshamn,vert
Kapıkule,Edirne,rouge
Karabük,Adapazarı,rouge
Karabük,Ankara,rouge
Karabük,Eregli,rouge
Karabük,Samsun,vert
Karabük,Çankiri,rouge
Karabük,Ìrmak,rouge
Karaman,Cyprus,rouge
Karaman,Egirdir,rouge
Kardam,Călăraşi,rouge
Kardam,Eforie Nord Mangalia,rouge
Kardam,Varna,rouge
Karjaa Hanko,Keila Paldiski Kloogaranna,rouge
Karjaa Hanko,Keila Paldiski Kloogaranna,vert
Karlskrona Kristianstad,10h30min,vert
Karlskrona Kristianstad,Simrishamn Ystad,violet
Karlstad,Kristinehamn,rouge
Karlstad,Laxå,vert
Karlstad,Ludvika,rouge
Karlstad,Vänern,rouge
Karnobat,Kapıkule,rouge
Karnobat,Stara Zagora Dimitrovgrad,rouge
Kastanies,1 2 3,rouge
Kastanies,Pythion,rouge
Kastrup,9h 6h,vert
Kastrup,Trelleborg,rouge
Katakolo,16h,vert
Katakolo,Alﬁos Olympia,vert
Katakolo,Chania,rouge
Katakolo,Chania,vert
Katrineholm,Norrköping Nyköping,vert
Kavala,Aegean Sea,vert
Keila Paldiski Kloogaranna,17h,vert
Keila Paldiski Kloogaranna,Turba Türi,rouge
Kicevo,Albania,rouge
Kicevo,Albania,vert
Kicevo,Bitola,rouge
Kicevo,Corfu,vert
Kielce,Rzeszów,rouge
Kielce,Rzeszów,violet
Kil,Karlstad,vert
Kil,Laxå,vert
Kil,Vänern,violet
Kiáto,Patras Athinai,rouge
Klaipėda,Russia,rouge
Kleine,Kleine Scheidegg,rouge
Kleine,Scheidegg Schilthorn,rouge
Kleine,Schilthorn,rouge
Kleine Scheidegg,Gletsch Oberwald,rouge
Kleine Scheidegg,Kleine,rouge
Kleine Scheidegg,Scheidegg Schilthorn,rouge
Koluszki,SkarǏysko- Kamienna,violet
Komotini,Alexandroupolis,rouge
Komotini,Alexandroupolis,vert
Kongsberg,Neslandsvatn,rouge
Kongsvinger,Charlottenberg,vert
Kongsvinger,Torsby,vert
Konin,Poland,rouge
Konin,Poland,vert
Konya,Egirdir,rouge
Konya,Karaman,rouge
Korinthos,Chania,rouge
Kosovo,Kicevo,rouge
Kosovo,Kicevo,vert
Kosovo Polje,Bar,vert
Kosovo Polje,Kosovo,rouge
Kosovo Polje,Montenegro Montenegro,vert
Kostrzyn,Rzepin,vert
Kostrzyn,Zielona Góra,vert
Koszalin Kołobrzeg Slupsk Lębork,.KHǉZR,violet
Kraków,Rzeszów,violet
Kristiansand,Hirtshals Hjørring,rouge
Kristiansand,Hirtshals Hjørring,violet
Kristiansand,Thisted,rouge
Krosno,Zagórz,vert
Krynica-,Zdrój Krynica- Zdrój,rouge
Kulata,Gevgelija Xanthi Drama,rouge
Kutno,Koluszki,rouge
Kutno,Koluszki,vert
Kutno,Warszawa,rouge
Kybartai,GiǏycko,rouge
Kysak Poprad-Tatry,Miskolc,rouge
København Kalundborg København,Malmö,vert
Kütahaya,Civril,rouge
Kütahaya,Civril,violet
Lancy-,Black Sea,rouge
Lancy-,Lancy- Pont-Rouge,rouge
Lancy-,Pont-Rouge,rouge
Lancy-,Pont-Rouge,vert
Lancy-,Zonguldak,rouge
Lancy-,Zonguldak,violet
Lancy- Pont-Rouge,Pont-Rouge,violet
Larissa,Trikala,vert
Larvik,3h45,rouge
Larvik,Langesund,rouge
Laxå,Skövde,vert
Lecce,Corfu,vert
Lecce,Cosenza Crotone,rouge
Lecce,Cosenza Crotone,violet
Lecce,Ionian Sea,violet
Lecce,Taranto,vert
Lentini,Noto,rouge
Leros,Kalymnos Kalymnos,rouge
Lesvos,Andros,vert
Lesvos,Chios,rouge
Lesvos,Chios,vert
Lianokladion,Diakopto,vert
Liberec,Jelenia Góra,vert
Liepāja,Mažeikiai,rouge
Linköping,Motala,rouge
Linköping,Nässjö,rouge
Linköping,Västervik,rouge
Lublin,Radom,rouge
Ludvika,Västerås,vert
Ludvika,terås,vert
Lugoj,Buziaș,violet
Lugoj,Petroșani,violet
Lugoj,Reșița,violet
Lugoj,Stamora Motavița,violet
Långnäs Naantali Torsby,Kapellskär,vert
Långnäs Naantali Torsby,Uppsala,rouge
Långnäs Naantali Torsby,Uppsala,vert
Macedonia North Macedonia,Bitola,vert
Malatya,Batman,vert
Malta,Chania,rouge
Manfredonia Bosco Redole,Cervaro,violet
Manfredonia Bosco Redole,Rocchetta S.A.L.,violet
Manisa,Civril,rouge
Manisa,Izmir,violet
Marcinkonys,Belarus,rouge
Marcinkonys,Belarus,vert
Marcinkonys,Hajnówka Hajnówka,rouge
Marcinkonys,Hajnówka Hajnówka,vert
Marcinkonys,Hajnówka Hajnówka,violet
Mariehamn Espoo,16h,vert
Mariehamn Espoo,18h,rouge
Mariehamn Espoo,18h,vert
Marsala Alcamo,Agrigento,vert
Marsala Alcamo,Castelvetrano,vert
Marsala Alcamo,Trapani,vert
Mažeikiai,Klaipėda,rouge
Mažeikiai,Russia,rouge
Medgidia,Constața,rouge
Medgidia,Constața,vert
Medgidia,Eforie Nord Mangalia,rouge
Medgidia,Kardam,rouge
Mediaș,Brașov Sibiu,rouge
Mediaș,Brașov Sibiu,vert
Medyka Tarnów,Zagórz,rouge
Medyka Tarnów,Zagórz,violet
Medzilaborce,Cierna,violet
Mersin,Cyprus,vert
Mersin,Iskenderun,rouge
Mezdra,Septemvri,rouge
Miercurea Ciuc Odorhei Mărășești,Odorhei,rouge
Miskolc,Nyíregyháza Eger,rouge
Modena Reggio Emilia Ferrara,Faenza,rouge
Modica,Malta,vert
Modica,Noto,vert
Moldova,Tecuci,violet
Montenegro Montenegro,Bar,vert
Montenegro Montenegro,Kosovo Polje,vert
Montenegro Montenegro,Podgorica,vert
Moss,Larvik,rouge
Mostar,t M tk t v ov ov c k Metkovic,violet
Motala,Hultsfre Eksjö d,rouge
Motala,Jönköping,violet
Motala,Nässjö,rouge
Motala,Vättern,rouge
Mytilene,Lesvos,rouge
Mytilene,Manisa,rouge
Neslandsvatn,Sira,rouge
Neustrelitz,Pasewalk,vert
Nis,Soﬁa,violet
Nis,Tabanovce,rouge
Nis,Zvecan Zvecan,vert
Nordagutu,Neslandsvatn,rouge
Norrköping,Linköping,rouge
Norrköping,Västervik,rouge
Norrköping Nyköping,Västervik,vert
North,Kicevo,vert
Noto,Katakolo,rouge
Noto,Malta,rouge
Noto,Modica,rouge
Noto,Modica,vert
Novi Sad,Sid,violet
Novi Sad,Vinkovci,rouge
Nusaybin,Gaziantep,rouge
Nyköping,Norrköping,rouge
Nynäshamn,9h30min,vert
Nynäshamn,Nyköping,rouge
Nässjö,Hultsfre Eksjö d,rouge
Odorhei,Predeal,rouge
Odorhei,Predeal,violet
Odorhei,Sfântu Gheorghe,violet
Olsztyn,Warszawa,rouge
Onești,Miercurea Ciuc Odorhei Mărășești,rouge
Onești,Odorhei,violet
Orbe,Black Sea,violet
Orbe,Chavornay,vert
Orbe,Chavornay,violet
Orbe,Constața,vert
Orbe,Constața,violet
Orbe,Lancy-,vert
Ormenio Ormenio,Kavala,rouge
Osijek,Vinkovci,rouge
Oskarshamn,28h30min,rouge
Oskarshamn,28h30min,vert
Oskarshamn,Gotland,vert
Oskarshamn,Öland,vert
Ostrów Wlkp. Kalisz Lódz,Koluszki,vert
Otta,Lillehammer,vert
Paleofársalos,Lamia,rouge
Palermo,Castelvetrano,vert
Palermo,Marsala Alcamo,vert
Paros,Crete,rouge
Pasewalk,Neustrelitz,vert
Patmos Patmos Ikaria,Leros,rouge
Patras Athinai,Kiáto,rouge
Perkovic Sibenik,Termoli,violet
Petroșani,Caransebeș,rouge
Piatra Neamţ Cluj-Napoca,Târgu Mureș,vert
Piatra-,Piatra- Olt,rouge
Piombino,Grosseto,rouge
Piraeus,Korinthos,rouge
Plavec,Kosice,rouge
Pleven Gorna Orjahovitza,Bulgaria,rouge
Ploce,tic,violet
Ploiești,Titu,violet
Plovdiv,Bansko Dobrinishte,rouge
Plovdiv,Kavala,rouge
Podu Olt,Curtea de Argeș Parc Kreţulescu,violet
Poland,Ostrów Wlkp. Kalisz Lódz,rouge
Poland,Ostrów Wlkp. Kalisz Lódz,vert
Pont-Rouge,Eregli,rouge
Pont-Rouge,Istanbul,rouge
Pont-Rouge,Varna,vert
Pont-Rouge,Zonguldak,rouge
Pont-Rouge,Zonguldak,vert
Povelyanovo  Kaspichan,Burgas,rouge
Povelyanovo  Kaspichan,Karnobat,rouge
Povelyanovo  Kaspichan,Varna,rouge
Predeal,Bușteni,violet
Pristina Pristina,Kosovo Polje,vert
Pristina Pristina,Montenegro Montenegro,vert
Pyrgos,Alﬁos Olympia,rouge
Pyrgos,Katakolo,vert
Pythion,Komotini,rouge
Pythion,Uzunköprü,rouge
Pécs Baja,Osijek,violet
Radna,Arad,violet
Radna,Curtici,violet
Radna,Deva Ilia,violet
Radna,Recaș,rouge
Radom,SkarǏysko- Kamienna,rouge
Ragusa Gela,Modica,vert
Rakvere,Tapa,vert
Realp,Biasca,rouge
Recaș,Buziaș,rouge
Reggio Calabria,Siracusa,rouge
Reșița,Anina Oravița,rouge
Rigi,Erstfeld,rouge
Rocchetta S.A.L.,Salerno,violet
Roma,Cassino Latina,rouge
Roman,Bacau,vert
Roman,Bacau,violet
Roman,Onești,violet
Roman,Tecuci,vert
Ruse,Gorna,vert
Russia,Erstfeld,rouge
Russia,Georgia,rouge
Russia,Rigi,rouge
Russia,Rigi,vert
Rzepin,Zielona Góra,vert
Rzeszów,7YaLT`ǋS 7YaLT`ǋS,violet
Rzeszów,Krosno,vert
Rzeszów,Medyka Tarnów,violet
Røros,Sveg,vert
Røros,Sweden Sweden Norway,vert
Røros,Tynset Dombås,rouge
Rīga,Aizkraukle Jelgava,rouge
Rīga,Aizkraukle Jelgava,vert
Rīga,Šiauliai,rouge
Salgótarján,Nyíregyháza Eger,rouge
Salo,Karjaa Hanko,vert
Salonta,Curtici,rouge
Salonta,Câmpia Turzii,violet
Salonta,Radna,violet
Salva,Deda,vert
Samos,Mykonos Mykonos,rouge
Samos,Patmos Patmos Ikaria,rouge
Samsun,Amasya,rouge
Samsun,Amasya,vert
Samsun,Erzincan,rouge
Samsun,Karabük,vert
Samsun,Sivas,rouge
Samsun,Sivas,vert
Samsun,Sivas,violet
Sandefjord,Larvik Sandefjord,vert
Sandomierz,Kielce,rouge
Sarajevo,Mostar,violet
Sassnitz,Ǌ^PUV\QǋJPL,vert
Satu Mare,Jibou,vert
Scheidegg Schilthorn,Kleine Scheidegg,rouge
Scheidegg Schilthorn,Schilthorn,rouge
Schilthorn,Gruyères,violet
Schilthorn,Samsun,rouge
Septemvri,Bansko Dobrinishte,rouge
Serbia  Serbia,Zvecan Zvecan,vert
Sfântu Gheorghe,Sinaia,rouge
Sibari,Cosenza Crotone,rouge
Sid,Beograd,rouge
Sid,Doboj,violet
Sighișoara,Brașov Sibiu,rouge
Sighișoara,Podu Olt,rouge
Sighișoara,Sfântu Gheorghe,rouge
Simrishamn Ystad,9h 6h,vert
Simrishamn Ystad,Trelleborg,vert
Sinaia,Ploiești,violet
Sira,10h,rouge
Sira,Egersund,rouge
Sira,Neslandsvatn,rouge
Siracusa,16h,rouge
Siracusa,Noto,rouge
Siracusa,Noto,vert
Sivas,Amasya,rouge
Sivas,Erzincan,violet
Sivas,Samsun,rouge
Sivas,Çetinkaya,rouge
Sivas,Çetinkaya,vert
Skagen,Hirtshals Hjørring,rouge
Skagen,Skagen Falk,violet
Skagen,Ålborg Ålborg g,rouge
Skagen Falk,Borås,violet
Skopje,North,vert
Skopje,Veles,rouge
Skulte,Rīga,rouge
Skövde,Vättern,rouge
Skövde,Vättern,vert
Split,Ploce,rouge
Split,t M tk t v ov ov c k Metkovic,rouge
Stalowa Wola,Sandomierz,rouge
Stamora Motavița,Novi Sad,violet
Stara Pazova,Beograd,violet
Stara Zagora Dimitrovgrad,Dimitrovgrad,rouge
Stavanger Stavanger,Egersund,rouge
Steinkjer,Storlien Molde,rouge
Steinkjer,Storlien Molde,vert
