id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
;Champagne-Ardenne TGV;Champagne-Ardenne;;;48.8730660;4.2079100;;;FR;Europe/Paris
;Champagnole;Champagnole;;;46.7456049;5.9083581;;;FR;Europe/Paris
;Chantilly - Gouvieux;Chantilly - Gouvieux;;;49.1872381;2.4595267;;;FR;Europe/Paris
;Chantonnay;Chantonnay;;;46.6868121;-1.0505509;;;FR;Europe/Paris
;Charleville-Mézières;Charleville-Mezieres;;;49.7735712;4.7206939;;;FR;Europe/Paris
;Charmes;Charmes;;;49.6516667;3.3786111;;;FR;Europe/Paris
;Chartres;Chartres;;;48.4438601;1.4881434;;;FR;Europe/Paris
;Chartres Gare Rue Nicole;Chartres Rue Nicole;;;48.4457583;1.4786239;;;FR;Europe/Paris
;Chauffailles Gambetta;Chauffailles Gambetta;;;46.2063919;4.3358038;;;FR;Europe/Paris
;Chaumont;Chaumont;;;48.1111324;5.1395849;;;FR;Europe/Paris
;Chedde;Chedde;;;45.9263465;6.7197662;;;FR;Europe/Paris
;Cherbourg;Cherbourg;;;49.6425343;-1.6249565;;;FR;Europe/Paris
;Chinon;Chinon;;;47.1667182;0.2402095;;;FR;Europe/Paris
;Cholet;Cholet;;;47.0617293;-0.8801359;;;FR;Europe/Paris
;Clamecy;Clamecy;;;49.4286111;3.3619444;;;FR;Europe/Paris
;Clelles - Mens;Clelles - Mens;;;44.8272514;5.6050226;;;FR;Europe/Paris
;Clelles-Mairie;Clelles-Mairie;;;44.8271725;5.6225573;;;FR;Europe/Paris
;Clermont-Ferrand;Clermont-Ferrand;;;45.7774551;3.0819427;;;FR;Europe/Paris
;Clisson;Clisson;;;47.0877218;-1.2817422;;;FR;Europe/Paris
;Cluses;Cluses;;;46.0603171;6.5804218;;;FR;Europe/Paris
;Coarraze - Nay;Coarraze - Nay;;;43.1818438;-0.2416231;;;FR;Europe/Paris
;Colmar;Colmar;;;48.0777517;7.3579641;;;FR;Europe/Paris
;Colomiers;Colomiers;;;43.6112476;1.3367443;;;FR;Europe/Paris
;Commentry;Commentry;;;46.2901030;2.7439800;;;FR;Europe/Paris
;Commercy;Commercy;;;48.7632030;5.5914753;;;FR;Europe/Paris
;Communay;Communay;;;45.6043302;4.8324705;;;FR;Europe/Paris
;Compiègne;Compiegne;;;49.4179497;2.8263171;;;FR;Europe/Paris
;Conflans - Jarny;Conflans - Jarny;;;49.1665897;5.8682334;;;FR;Europe/Paris
;Connerré - Beillé;Connerre - Beille;;;48.0737604;0.4869483;;;FR;Europe/Paris
;Contrexéville Centre;Contrexeville Centre;;;48.1894746;5.9072966;;;FR;Europe/Paris
;Coppet;Coppet;;;45.5485276;5.7505940;;;FR;Europe/Paris
;Corbigny;Corbigny;;;47.2574315;3.6843003;;;FR;Europe/Paris
;Cosne-sur-Loire;Cosne-sur-Loire;;;47.4139645;2.9319441;;;FR;Europe/Paris
;Courtalain - Saint-Pellerin;Courtalain - Saint-Pellerin;;;48.0735924;1.1270003;;;FR;Europe/Paris
;Courtrai;Courtrai;;;43.3057454;5.4403425;;;FR;Europe/Paris
;Coutances;Coutances;;;49.0477920;-1.4454857;;;FR;Europe/Paris
;Coutras;Coutras;;;45.0407298;-0.1289533;;;FR;Europe/Paris
;Crépy-en-Valois;Crepy-en-Valois;;;49.2358509;2.8900507;;;FR;Europe/Paris
;Creil;Creil;;;49.2607914;2.4733771;;;FR;Europe/Paris
;Creutzwald Gare Routière;Creutzwald Routiere;;;49.2076123;6.6968010;;;FR;Europe/Paris
;Culmont - Chalindrey;Culmont - Chalindrey;;;47.8100902;5.4432217;;;FR;Europe/Paris
;Culoz;Culoz;;;45.8476517;5.7809063;;;FR;Europe/Paris
;Dax;Dax;;;43.7084065;-1.0518771;;;FR;Europe/Paris
