id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
164;Thann – St-Jacques;thann-st-jacques;8718288;87182881;47.813316;7.093847;162;;FR;Europe/Paris
165;Givors Canal;givors-canal;8772243;87722439;45.595766;4.772575;3263;;FR;Europe/Paris
166;Aspach-le-Haut;aspach-le-haut;;;47.650000;7.233333;;;FR;Europe/Paris
167;Aspach-le-Haut;aspach-le-haut;8767414;87674143;47.769396;7.142379;166;;FR;Europe/Paris
168;Aspach-le-Bas;aspach-le-bas;8721537;87215376;47.759832;7.152375;166;;FR;Europe/Paris
171;Avignon Centre;avignon-centre;8776500;87765008;43.941900;4.805281;489;;FR;Europe/Paris
172;Le Mans;le-mans;8739600;87396002;47.995034;0.190140;4661;;FR;Europe/Paris
173;Joué-lès-Tours Berthelot;joue-les-tours-berthelot;8711028;87110288;47.350000;0.666667;4580;;FR;Europe/Paris
174;Eu;eu;;;50.050000;1.416667;;;FR;Europe/Paris
175;Eu-la-Mouillette;eu-la-mouillette;8731676;87316760;50.048907;1.425369;174;;FR;Europe/Paris
176;Eu;eu;8731753;87317537;50.054199;1.416837;174;;FR;Europe/Paris
177;Alleyras;alleyras;8773188;87731885;44.919217;3.673517;;;FR;Europe/Paris
178;Le Havre;le-havre;8741301;87413013;49.492996;0.125677;4630;;FR;Europe/Paris
179;Harfleur;harfleur;;;49.506596;0.198269;;;FR;Europe/Paris
180;Harfleur-Halte;harfleur-halte;8741370;87413708;49.505918;0.192085;179;;FR;Europe/Paris
181;Harfleur;harfleur;8741330;87413302;49.513634;0.198983;179;;FR;Europe/Paris
182;Montivilliers;montivilliers;;;49.550000;0.200000;;;FR;Europe/Paris
184;Montivilliers;montivilliers;8741372;87413724;49.542976;0.189426;182;;FR;Europe/Paris
186;Dieppe;dieppe;8741501;87415018;49.921788;1.081133;1926;;FR;Europe/Paris
187;Fontainebleau – Avon;fontainebleau-avon;8768221;87682211;48.416371;2.726340;;;FR;Europe/Paris
188;Péronne;peronne;;;50.000000;2.650000;;;FR;Europe/Paris
189;Péronne Centre;peronne-centre;8731341;87313411;49.934997;2.938987;188;;FR;Europe/Paris
190;Péronne la Chapelette;peronne-la-chapelette;8731386;87313866;49.924488;2.933359;188;;FR;Europe/Paris
191;Albi Ville;albi-ville;8761500;87615005;43.922380;2.137958;4604;;FR;Europe/Paris
192;Orléans Centre;orleans-centre;8754300;87543009;47.907960;1.904666;4894;;FR;Europe/Paris
194;Vendôme;vendome;8757455;87574558;47.802150;1.067873;5846;;FR;Europe/Paris
195;Fréjus;frejus;8775750;87757500;43.432032;6.732941;4583;;FR;Europe/Paris
196;Fontenay-le-Comte;fontenay-le-comte;8748561;87485615;46.467860;-0.809593;2776;;FR;Europe/Paris
197;Acheux-Franleu;acheux-franleu;8731674;87316745;50.082602;1.657421;;;FR;Europe/Paris
198;St-Hilaire-de-Riez;st-hilaire-de-riez;;;;;;;FR;Europe/Paris
199;St-Hilaire-de-Riez;st-hilaire-de-riez;8748656;87486563;46.716674;-1.949684;198;;FR;Europe/Paris
200;St-Hilaire-de-Riez Centre;st-hilaire-de-riez-centre;8738992;87389924;46.718728;-1.944618;198;;FR;Europe/Paris
201;La Clayette – Baudemont;la-clayette-baudemont;8769473;87694737;46.288147;4.298420;;;FR;Europe/Paris
203;Tours;tours;8757100;87571000;47.389781;0.693703;5338;;FR;Europe/Paris
204;Cambrai;cambrai;8734552;87345520;50.17662;3.24118;;;FR;Europe/Paris
205;Aiguebelle;aiguebelle;8774125;87741256;45.543723;6.306718;;;FR;Europe/Paris
207;Agen;agen;8758600;87586008;44.208311;0.620932;17433;;FR;Europe/Paris
208;Ervy-le-Châtel Halles;ervy-le-chatel-halles;8711034;87110346;48.033333;3.916667;5684;;FR;Europe/Paris
209;Fays-la-Chapelle;fays-la-chapelle;8711037;87110379;48.133333;4.016667;;;FR;Europe/Paris
210;Agonac;agonac;8759515;87595157;45.286597;0.748671;;;FR;Europe/Paris
211;Limoges Bénédictins;limoges-benedictins;8759200;87592006;45.836089;1.267356;4651;;FR;Europe/Paris
212;Modane;modane;8774200;87742007;45.193365;6.658161;;;FR;Europe/Paris
